Abbreviation,Blank,Category,Cluster Group,Country,Created Month,Created Year,Date Created,Title,Title of Channel,Type,Youtuber,Average Channel Age,Created Date,Gross tertiary education enrollment (%),Highest Monthly Earnings,Highest Yearly Earnings,Latitude,Longitude,Lowest Monthly Earnings,Lowest Yearly Earnings,Measure Correlation Formula ,Measure Formula,Population,Rank,Subscribers,Subscribers For Last 30 Days,Total Countries Represented,Unemployment rate,Uploads,Urban population,Video Views,Video Views For The Last 30 Days
IN,,Music,Cluster 3,India,Mar,2006,13-03-2006,T-Series,T-Series,Music,T-Series,19.197260274,13,28.1,9000000,108400000,20.593684,78.96288,564600,6800000,108400000,245000000,1366417754,1,245000000,2000000,1,5.36,20082,471031528,228000000000,2258000000
US,,Film & Animation,Cluster 1,United States,Mar,2006,05-03-2006,youtubemovies,youtubemovies,Film & Animation,YouTube Movies,19.219178082,5,88.2,0.05,0.58,37.09024,-95.712891,0,0.04,0.58,170000000,328239523,2,170000000,200000,1,14.7,1,270663028,0,12
US,,Entertainment,Cluster 1,United States,Feb,2012,20-02-2012,MrBeast,MrBeast,Entertainment,MrBeast,13.252054795,20,88.2,5400000,64700000,37.09024,-95.712891,337000,4000000,64700000,166000000,328239523,3,166000000,8000000,1,14.7,741,270663028,28368841870,1348000000
US,,Education,Cluster 1,United States,Sep,2006,01-09-2006,Cocomelon - Nursery Rhymes,Cocomelon - Nursery Rhymes,Education,Cocomelon - Nursery Rhymes,18.726027397,1,88.2,7900000,94800000,37.09024,-95.712891,493800,5900000,94800000,162000000,328239523,4,162000000,1000000,1,14.7,966,270663028,164000000000,1975000000
IN,,Shows,Cluster 3,India,Sep,2006,20-09-2006,SET India,SET India,Shows,SET India,18.673972603,20,28.1,7300000,87500000,20.593684,78.96288,455900,5500000,87500000,159000000,1366417754,5,159000000,1000000,1,5.36,116536,471031528,148000000000,1824000000
US,,People & Blogs,Cluster 1,United States,May,2015,12-05-2015,Kids Diana Show,Kids Diana Show,People & Blogs,Kids Diana Show,10.027397260,12,88.2,2900000,35100000,37.09024,-95.712891,182900,2200000,35100000,112000000,328239523,7,112000000,200000,1,14.7,1111,270663028,93247040539,731674000
JP,,Gaming,Cluster 4,Japan,Apr,2010,29-04-2010,PewDiePie,PewDiePie,Gaming,PewDiePie,15.065753425,29,63.2,156700,1900000,36.204824,138.252924,9800,117600,1900000,111000000,126226568,8,111000000,200000,1,2.29,4716,115782416,29058044447,39184000
RU,,People & Blogs,Cluster 1,Russia,Jan,2016,14-01-2016,Like Nastya Vlog,Like Nastya Vlog,People & Blogs,Like Nastya,9.350684932,14,81.9,195800,2300000,61.52401,105.318756,12200,146800,2300000,106000000,144373535,9,106000000,100000,1,4.59,493,107683889,90479060027,48947000
US,,Entertainment,Cluster 1,United States,Apr,2018,23-04-2018,Vlad and Niki,Vlad and Niki,Entertainment,Vlad and Niki,7.076712329,23,88.2,2300000,27900000,37.09024,-95.712891,145100,1700000,27900000,98900000,328239523,10,98900000,600000,1,14.7,574,270663028,77180169894,580574000
IN,,Music,Cluster 3,India,Mar,2014,12-03-2014,Zee Music Company,Zee Music Company,Music,Zee Music Company,11.194520548,12,28.1,3200000,38600000,20.593684,78.96288,200900,2400000,38600000,96700000,1366417754,11,96700000,1100000,1,5.36,8548,471031528,57856289381,803613000
US,,Sports,Cluster 1,United States,May,2007,11-05-2007,WWE,WWE,Sports,WWE,18.035616438,11,88.2,2900000,34300000,37.09024,-95.712891,178700,2100000,34300000,96000000,328239523,12,96000000,600000,1,14.7,70127,270663028,77428473662,714614000
KR,,People & Blogs,Cluster 4,South Korea,Jun,2016,29-06-2016,BLACKPINK,BLACKPINK,People & Blogs,BLACKPINK,8.893150685,29,94.3,2000000,23900000,35.907757,127.766922,124700,1500000,23900000,89800000,51709098,14,89800000,700000,1,4.15,543,42106719,32144597566,498930000
IN,,Shows,Cluster 3,India,Aug,2007,04-08-2007,Sony SAB,Sony SAB,Shows,Sony SAB,17.802739726,4,28.1,6600000,79600000,20.593684,78.96288,414300,5000000,79600000,83000000,1366417754,16,83000000,1100000,1,5.36,71270,471031528,101000000000,1657000000
GB,,Howto & Style,Cluster 4,United Kingdom,Jul,2020,27-07-2020,5-Minute Crafts 2.0,5-Minute Crafts 2.0,Howto & Style,5-Minute Crafts,4.813698630,27,60,0,0.05,55.378051,-3.435973,0,0,0.05,80100000,66834405,17,80100000,200000,1,3.85,1,55908316,26236790209,1
KR,,Music,Cluster 4,South Korea,Dec,2012,17-12-2012,BANGTANTV,BANGTANTV,Music,BANGTANTV,12.427397260,17,94.3,673200,8100000,35.907757,127.766922,42100,504900,8100000,75600000,51709098,18,75600000,400000,1,4.15,2281,42106719,20826993957,168290000
US,,Others,Cluster 1,United States,Jan,2006,30-01-2006,sports,sports,Others,Sports,19.312328767,30,88.2,0.06,0.77,37.09024,-95.712891,0,0.05,0.77,75000000,328239523,19,75000000,200000,1,14.7,3,270663028,0,16
CA,,Music,Cluster 4,Canada,Jan,2007,15-01-2007,Justin Bieber,Justin Bieber,Music,Justin Bieber,18.353424658,15,68.9,705300,8500000,56.130366,-106.346771,44100,529000,8500000,71600000,36991981,20,71600000,100000,1,5.56,249,30628482,30608119724,176326000
KR,,Music,Cluster 4,South Korea,Jun,2008,04-06-2008,HYBE LABELS,HYBE LABELS,Music,HYBE LABELS,16.967123288,4,94.3,2400000,28700000,35.907757,127.766922,149500,1800000,28700000,71300000,51709098,21,71300000,900000,1,4.15,1337,42106719,28634566938,598173000
IN,,Entertainment,Cluster 3,India,Dec,2005,11-12-2005,Zee TV,Zee TV,Entertainment,Zee TV,19.449315068,11,28.1,6800000,81900000,20.593684,78.96288,426800,5100000,81900000,70500000,1366417754,22,70500000,900000,1,5.36,129204,471031528,73139054467,1707000000
US,,Education,Cluster 1,United States,Dec,2011,14-12-2011,Pinkfong Baby Shark - Kids' Songs & Stories,Pinkfong Baby Shark - Kids' Songs & Stories,Education,Pinkfong Baby Shark - Kids' Songs & Stories,13.438356164,14,88.2,1900000,22700000,37.09024,-95.712891,118300,1400000,22700000,68200000,328239523,23,68200000,600000,1,14.7,2865,270663028,38843229963,473387000
BR,,Music,Cluster 1,Brazil,Mar,2012,21-03-2012,Canal KondZilla,Canal KondZilla,Music,Canal KondZilla,13.169863014,21,51.3,0,0,-14.235004,-51.92528,0,0,0,66500000,212559417,24,66500000,200000,1,12.08,2572,183241641,36775585925,447223000
IN,,Education,Cluster 3,India,Feb,2013,09-02-2013,ChuChu TV Nursery Rhymes & Kids Songs,ChuChu TV Nursery Rhymes & Kids Songs,Education,ChuChu TV Nursery Rhymes & Kids Songs,12.279452055,9,28.1,1700000,20200000,20.593684,78.96288,105100,1300000,20200000,65900000,1366417754,25,65900000,500000,1,5.36,633,471031528,45757850229,420292000
IN,,Music,Cluster 3,India,Jun,2010,11-06-2010,Shemaroo Filmi Gaane,Shemaroo Filmi Gaane,Music,Shemaroo Filmi Gaane,14.947945205,11,28.1,1000000,12200000,20.593684,78.96288,63700,764900,12200000,65600000,1366417754,26,65600000,400000,1,5.36,8502,471031528,28648024439,254961000
IN,,Shows,Cluster 3,India,Jun,2008,13-06-2008,Colors TV,Colors TV,Shows,Colors TV,16.942465753,13,28.1,4800000,57000000,20.593684,78.96288,296900,3600000,57000000,64600000,1366417754,27,64600000,1100000,1,5.36,112915,471031528,61510906457,1188000000
IN,,Music,Cluster 3,India,Aug,2018,03-08-2018,T- SERIES BHAKTI SAGAR,T- SERIES BHAKTI SAGAR,Music,T-Series Bhakti Sagar,6.797260274,3,28.1,0.04,0.48,20.593684,78.96288,0,0.03,0.48,61000000,1366417754,28,61000000,200000,1,5.36,13,471031528,29533230328,10
US,,Sports,Cluster 1,United States,Mar,2009,17-03-2009,Dude Perfect,Dude Perfect,Sports,Dude Perfect,16.183561644,17,88.2,564800,6800000,37.09024,-95.712891,35300,423600,6800000,59500000,328239523,29,59500000,100000,1,14.7,389,270663028,16241549158,141200000
US,,Film & Animation,Cluster 1,United States,Apr,2006,28-04-2006,Movieclips,Movieclips,Film & Animation,Movieclips,19.071232877,28,88.2,458700,5500000,37.09024,-95.712891,28700,344000,5500000,59500000,328239523,30,59500000,100000,1,14.7,39113,270663028,59316472754,114668000
IN,,Music,Cluster 3,India,May,2007,22-05-2007,Tips Official,Tips Official,Music,Tips Official,18.005479452,22,28.1,1700000,20300000,20.593684,78.96288,105700,1300000,20300000,59300000,1366417754,31,59300000,600000,1,5.36,4741,471031528,33431802698,422634000
AR,,Music,Cluster 4,Argentina,Jun,2011,02-06-2011,El Reino Infantil,El Reino Infantil,Music,El Reino Infantil,13.972602740,2,90,2400000,29400000,-38.416097,-63.616672,153000,1800000,29400000,58400000,44938712,32,58400000,600000,1,9.79,1510,41339571,57271630846,611828000
IN,,Music,Cluster 3,India,Oct,2014,29-10-2014,Wave Music,Wave Music,Music,Wave Music,10.561643836,29,28.1,928100,11100000,20.593684,78.96288,58000,696100,11100000,58000000,1366417754,33,58000000,500000,1,5.36,19487,471031528,40602020243,232025000
IN,,News & Politics,Cluster 3,India,Aug,2009,27-08-2009,Aaj Tak,Aaj Tak,News & Politics,Aaj Tak,15.736986301,27,28.1,1800000,22100000,20.593684,78.96288,115300,1400000,22100000,57600000,1366417754,34,57600000,500000,1,5.36,283775,471031528,25307753534,461148000
IN,,Music,Cluster 3,India,Sep,2009,02-09-2009,Sony Music India,Sony Music India,Music,Sony Music India,15.720547945,2,28.1,1000000,12400000,20.593684,78.96288,64800,777900,12400000,57200000,1366417754,35,57200000,300000,1,5.36,3882,471031528,28837144516,259310000
US,,Music,Cluster 1,United States,Feb,2007,09-02-2007,EminemMusic,EminemMusic,Music,EminemMusic,18.284931507,9,88.2,1000000,12500000,37.09024,-95.712891,65000,780600,12500000,56900000,328239523,36,56900000,300000,1,14.7,156,270663028,27073872856,260193000
US,,Entertainment,Cluster 1,United States,Apr,2015,06-04-2015,Marshmello,Marshmello,Entertainment,Marshmello,10.126027397,6,88.2,448400,5400000,37.09024,-95.712891,28000,336300,5400000,56400000,328239523,37,56400000,100000,1,14.7,436,270663028,14696003229,112100000
IN,,Film & Animation,Cluster 3,India,Jun,2006,07-06-2006,YRF,YRF,Film & Animation,YRF,18.961643836,7,28.1,2000000,24600000,20.593684,78.96288,128000,1500000,24600000,54600000,1366417754,38,54600000,500000,1,5.36,3707,471031528,35302243691,512093000
GB,,Music,Cluster 4,United Kingdom,Aug,2006,08-08-2006,Ed Sheeran,Ed Sheeran,Music,Ed Sheeran,18.791780822,8,60,810900,9700000,55.378051,-3.435973,50700,608200,9700000,53500000,66834405,40,53500000,100000,1,3.85,383,55908316,30367676736,202720000
IN,,Education,Cluster 3,India,Jun,2014,06-06-2014,Infobells - Hindi,Infobells - Hindi,Education,Infobells - Hindi,10.958904110,6,28.1,3300000,39200000,20.593684,78.96288,204000,2400000,39200000,53300000,1366417754,41,53300000,1600000,1,5.36,577,471031528,30516172739,815949000
US,,Music,Cluster 1,United States,Sep,2006,20-09-2006,Taylor Swift,Taylor Swift,Music,Taylor Swift,18.673972603,20,88.2,2100000,25400000,37.09024,-95.712891,132100,1600000,25400000,52900000,328239523,42,52900000,800000,1,14.7,216,270663028,29884657286,528392000
US,,Music,Cluster 1,United States,Jan,2007,22-01-2007,Ariana Grande,Ariana Grande,Music,Ariana Grande,18.334246575,22,88.2,640900,7700000,37.09024,-95.712891,40100,480600,7700000,52700000,328239523,43,52700000,100000,1,14.7,147,270663028,24004842608,160216000
US,,Education,Cluster 1,United States,Oct,2013,25-10-2013,BillionSurpriseToys  - Nursery Rhymes & Cartï¿½,BillionSurpriseToys  - Nursery Rhymes & Cartï¿½,Education,BillionSurpriseToys  - Nursery Rhymes & Cartoons,11.572602740,25,88.2,1100000,12800000,37.09024,-95.712891,66700,800200,12800000,52200000,328239523,44,52200000,600000,1,14.7,847,270663028,9877365274,266747000
CL,,Gaming,Cluster 4,Chile,May,2013,19-05-2013,JuegaGerman,JuegaGerman,Gaming,JuegaGerman,12.008219178,19,88.5,265600,3200000,-35.675147,-71.542969,16600,199200,3200000,48100000,18952038,45,48100000,200000,1,7.09,2052,16610135,14631710289,66388000
US,,Music,Cluster 1,United States,Feb,2013,06-02-2013,Billie Eilish,Billie Eilish,Music,Billie Eilish,12.287671233,6,88.2,587400,7000000,37.09024,-95.712891,36700,440600,7000000,47900000,328239523,46,47900000,200000,1,14.7,65,270663028,13626331061,146862000
RU,,Entertainment,Cluster 4,Russia,Dec,2006,16-12-2006,Get Movies,Get Movies,Entertainment,Get Movies,18.435616438,16,81.9,1200000,14700000,61.52401,105.318756,76600,919600,14700000,47500000,144373535,47,47500000,700000,1,4.59,3322,107683889,30788679536,306540000
IN,,Entertainment,Cluster 3,India,Sep,2007,01-09-2007,Shemaroo,Shemaroo,Entertainment,Shemaroo,17.726027397,1,28.1,931000,11200000,20.593684,78.96288,58200,698200,11200000,47400000,1366417754,48,47400000,500000,1,5.36,11451,471031528,22519705183,232744000
US,,Music,Cluster 1,United States,Sep,2009,02-09-2009,SonyMusicIndiaVEVO,SonyMusicIndiaVEVO,Music,SonyMusicIndiaVEVO,15.720547945,2,88.2,1300000,15100000,37.09024,-95.712891,78600,943500,15100000,46600000,328239523,50,46600000,400000,1,14.7,3444,270663028,27286058807,314505000
CU,,Gaming,Cluster 2,Cuba,Mar,2006,11-03-2006,aefour,aefour,Gaming,A4,19.202739726,11,41.4,0.38,5,21.521757,-77.781167,0.02,0.28,5,46300000,11333483,51,46300000,10,1,1.64,1,8739135,22936630813,94
SV,,Gaming,Cluster 2,El Salvador,May,2011,02-05-2011,Fernanfloo,Fernanfloo,Gaming,Fernanfloo,14.057534247,2,29.4,135400,1600000,13.794185,-88.89653,8500,101500,1600000,46100000,6453553,53,46100000,200000,1,4.11,543,4694702,10323391593,33842000
IN,,Entertainment,Cluster 3,India,Nov,2016,23-11-2016,Voot Kids,Voot Kids,Entertainment,Voot Kids,8.490410959,23,28.1,936000,11200000,20.593684,78.96288,58500,702000,11200000,45500000,1366417754,54,45500000,400000,1,5.36,4660,471031528,21388725229,233988000
BR,,Entertainment,Cluster 1,Brazil,May,2006,16-05-2006,Felipe Neto,Felipe Neto,Entertainment,Felipe Neto,19.021917808,16,51.3,521400,6300000,-14.235004,-51.92528,32600,391100,6300000,45200000,212559417,55,45200000,200000,1,12.08,4331,183241641,16602198273,130359000
BR,,Entertainment,Cluster 1,Brazil,Sep,2013,01-09-2013,Voc,Voc,Entertainment,Voc,11.720547945,1,51.3,192100,2300000,-14.235004,-51.92528,12000,144100,2300000,44700000,212559417,56,44700000,100000,1,12.08,1558,183241641,7828610828,48032000
PK,,Entertainment,Cluster 2,Pakistan,Jan,2008,02-01-2008,HAR PAL GEO,HAR PAL GEO,Entertainment,HAR PAL GEO,17.389041096,2,9,5300000,64200000,30.375321,69.345116,334300,4000000,64200000,44600000,216565318,57,44600000,1300000,1,4.45,100755,79927762,41139050371,1337000000
US,,Music,Cluster 1,United States,Jun,2008,01-06-2008,Katy Perry,Katy Perry,Music,Katy Perry,16.975342466,1,88.2,537000,6400000,37.09024,-95.712891,33600,402700,6400000,44200000,328239523,59,44200000,100000,1,14.7,128,270663028,25458952022,134242000
BR,,Comedy,Cluster 1,Brazil,Jan,2013,21-01-2013,whinderssonnunes,whinderssonnunes,Comedy,whinderssonnunes,12.331506849,21,51.3,106700,1300000,-14.235004,-51.92528,6700,80100,1300000,44200000,212559417,60,44200000,200000,1,12.08,558,183241641,4274709210,26683000
PH,,People & Blogs,Cluster 2,Philippines,Jul,2008,16-07-2008,ABS-CBN Entertainment,ABS-CBN Entertainment,People & Blogs,ABS-CBN Entertainment,16.852054795,16,35.5,706500,8500000,12.879721,121.774017,44200,529900,8500000,44200000,108116615,61,44200000,300000,1,2.15,193890,50975903,50292540392,176629000
TH,,Music,Cluster 2,Thailand,May,2006,12-05-2006,alanwalker,alanwalker,Music,Alan Walker,19.032876712,12,49.3,0.09,1,15.870032,100.992541,0.01,0.07,1,43700000,69625582,62,43700000,200000,1,0.75,8,35294600,12884264778,22
CO,,People & Blogs,Cluster 4,Colombia,Oct,2005,16-10-2005,Shakira,Shakira,People & Blogs,Shakira,19.602739726,16,55.3,1400000,17000000,4.570868,-74.297333,88400,1100000,17000000,43500000,50339443,64,43500000,500000,1,9.71,326,40827302,27568757295,353412000
RU,,Film & Animation,Cluster 4,Russia,May,2011,31-05-2011,Russian Channel,Russian Channel,Film & Animation,Russsian Channel,13.978082192,31,81.9,1200000,14600000,61.52401,105.318756,75900,911300,14600000,43200000,144373535,65,43200000,300000,1,4.59,1478,107683889,36458726976,303780000
PK,,Entertainment,Cluster 2,Pakistan,Jul,2016,11-07-2016,ARY Digital HD,ARY Digital HD,Entertainment,ARY Digital HD,8.860273973,11,9,4600000,55200000,30.375321,69.345116,287300,3400000,55200000,43200000,216565318,66,43200000,900000,1,4.45,109871,79927762,37939780685,1149000000
IN,,Music,Cluster 3,India,Nov,2012,22-11-2012,Speed Records,Speed Records,Music,Speed Records,12.495890411,22,28.1,639000,7700000,20.593684,78.96288,39900,479300,7700000,42500000,1366417754,67,42500000,100000,1,5.36,10938,471031528,26820902622,159757000
US,,Shows,Cluster 1,United States,Sep,2014,17-09-2014,Masha and The Bear,Masha and The Bear,Shows,Masha and The Bear,10.676712329,17,88.2,2700000,32200000,37.09024,-95.712891,167600,2000000,32200000,42400000,328239523,68,42400000,1000000,1,14.7,1218,270663028,24519022988,670459000
US,,Entertainment,Cluster 1,United States,Nov,2017,14-11-2017,Like Nastya Show,Like Nastya Show,Entertainment,Like Nastya Show,7.515068493,14,88.2,212800,2600000,37.09024,-95.712891,13300,159600,2600000,42400000,328239523,69,42400000,200000,1,14.7,618,270663028,19547696190,53202000
BB,,Entertainment,Cluster 4,Barbados,Nov,2005,06-11-2005,Rihanna,Rihanna,Entertainment,Rihanna,19.545205479,6,65.4,731700,8800000,13.193887,-59.543198,45700,548800,8800000,41900000,287025,70,41900000,100000,1,10.33,84,89431,22477745835,182926000
IN,,Trailers,Cluster 3,India,Sep,2005,22-09-2005,Ishtar Music,Ishtar Music,Trailers,Ishtar Music,19.668493151,22,28.1,723800,8700000,20.593684,78.96288,45200,542800,8700000,41400000,1366417754,71,41400000,400000,1,5.36,4510,471031528,17608931161,180942000
MX,,People & Blogs,Cluster 2,Mexico,Nov,2016,16-11-2016,Kimberly Loaiza,Kimberly Loaiza,People & Blogs,Kimberly Loaiza,8.509589041,16,40.2,547000,6600000,23.634501,-102.552784,34200,410200,6600000,41300000,126014024,72,41300000,400000,1,3.42,291,102626859,5603111948,136745000
US,,Education,Cluster 1,United States,Jun,2011,22-06-2011,Little Baby Bum - Nursery Rhymes & Kids Songs,Little Baby Bum - Nursery Rhymes & Kids Songs,Education,Little Baby Bum - Nursery Rhymes & Kids Songs,13.917808219,22,88.2,395100,4700000,37.09024,-95.712891,24700,296300,4700000,40900000,328239523,73,40900000,100000,1,14.7,2423,270663028,39450824833,98775000
MX,,Comedy,Cluster 2,Mexico,Jun,2010,18-06-2010,Luis Arturo Villar Sudek,Luis Arturo Villar Sudek,Comedy,Luisito Comunica,14.928767123,18,40.2,0,0,23.634501,-102.552784,0,0,0,40600000,126014024,74,40600000,200000,1,3.42,0,102626859,8670473639,71118000
AE,,People & Blogs,Cluster 2,United Arab Emirates,Nov,2017,06-11-2017,shfa2 - ï¿½,shfa2 - ï¿½,People & Blogs,shfa2 - ï¿½,7.536986301,6,36.8,990900,11900000,23.424076,53.847818,61900,743200,11900000,39700000,9770529,77,39700000,300000,1,2.35,1596,8479744,23884824160,247731000
IN,,Comedy,Cluster 3,India,Oct,2014,30-10-2014,CarryMinati,CarryMinati,Comedy,CarryMinati,10.558904110,30,28.1,314800,3800000,20.593684,78.96288,19700,236100,3800000,39200000,1366417754,79,39200000,700000,1,5.36,186,471031528,3294013141,78688000
US,,Music,Cluster 1,United States,Jun,2015,23-06-2015,XXXTENTACION,XXXTENTACION,Music,XXXTENTACION,9.912328767,23,88.2,233400,2800000,37.09024,-95.712891,14600,175100,2800000,39200000,328239523,80,39200000,100000,1,14.7,133,270663028,10507474316,58362000
CA,,Education,Cluster 4,Canada,Sep,2006,08-09-2006,Super Simple Songs - Kids Songs,Super Simple Songs - Kids Songs,Education,Super Simple Songs - Kids Songs,18.706849315,8,68.9,2200000,26900000,56.130366,-106.346771,140200,1700000,26900000,39200000,36991981,81,39200000,400000,1,5.56,744,30628482,44900897958,560756000
ES,,Gaming,Cluster 1,Spain,Jul,2015,13-07-2015,Mikecrack,Mikecrack,Gaming,Mikecrack,9.857534247,13,88.9,1100000,12700000,40.463667,-3.74922,66000,792300,12700000,39100000,47076781,82,39100000,800000,1,13.96,1876,37927409,16118181673,264108000
TH,,Entertainment,Cluster 2,Thailand,Nov,2012,05-11-2012,WorkpointOfficial,WorkpointOfficial,Entertainment,WorkpointOfficial,12.542465753,5,49.3,521800,6300000,15.870032,100.992541,32600,391400,6300000,39000000,69625582,83,39000000,200000,1,0.75,72580,35294600,36131228583,130461000
BR,,Music,Cluster 1,Brazil,Aug,2014,05-08-2014,GR6 EXPLODE,GR6 EXPLODE,Music,GR6 EXPLODE,10.794520548,5,51.3,6500000,78500000,-14.235004,-51.92528,408700,4900000,78500000,38900000,212559417,84,38900000,100000,1,12.08,3043,183241641,25154232306,1635000000
US,,Nonprofits & Activism,Cluster 1,United States,Jun,2009,23-06-2009,TEDx Talks,TEDx Talks,Nonprofits & Activism,TEDx Talks,15.915068493,23,88.2,182600,2200000,37.09024,-95.712891,11400,136900,2200000,38600000,328239523,85,38600000,100000,1,14.7,200933,270663028,7339333120,45638000
SA,,People & Blogs,Cluster 4,Saudi Arabia,May,2018,24-05-2018,shfa,shfa,People & Blogs,shfa,6.991780822,24,68,6400,76300,23.885942,45.079162,397,4800,76300,38400000,34268528,86,38400000,2000,1,5.93,982,28807838,21528116909,1589000
IN,,Music,Cluster 3,India,Aug,2015,24-08-2015,Goldmines Gaane Sune Ansune,Goldmines Gaane Sune Ansune,Music,Goldmines Gaane Sune Ansune,9.742465753,24,28.1,3300000,39100000,20.593684,78.96288,203700,2400000,39100000,38300000,1366417754,87,38300000,400000,1,5.36,3532,471031528,16718192386,814756000
US,,Music,Cluster 1,United States,Jun,2016,26-06-2016,21 Savage,21 Savage,Music,One Direction,8.901369863,26,88.2,25,305,37.09024,-95.712891,2,19,305,38200000,328239523,88,38200000,100,1,14.7,11,270663028,13598903820,6348
US,,Entertainment,Cluster 1,United States,Nov,2006,21-11-2006,TheEllenShow,TheEllenShow,Entertainment,TheEllenShow,18.504109589,21,88.2,87200,1000000,37.09024,-95.712891,5500,65400,1000000,38200000,328239523,89,38200000,200000,1,14.7,15672,270663028,22756581750,21804000
IN,,Shows,Cluster 3,India,May,2014,09-05-2014,Sony PAL,Sony PAL,Shows,Sony PAL,11.035616438,9,28.1,1700000,20000000,20.593684,78.96288,104000,1200000,20000000,38200000,1366417754,90,38200000,500000,1,5.36,24089,471031528,28519339489,415914000
US,,Music,Cluster 1,United States,May,2011,16-05-2011,Daddy Yankee,Daddy Yankee,Music,Daddy Yankee,14.019178082,16,88.2,822400,9900000,37.09024,-95.712891,51400,616800,9900000,38000000,328239523,91,38000000,100000,1,14.7,505,270663028,22731415608,205594000
US,,Others,Cluster 1,United States,Jul,2018,20-07-2018,Vlad vï¿½ï¿½ï,Vlad vï¿½ï¿½ï,Others,Vlad vï¿½ï¿½ï,6.835616438,20,88.2,976400,11700000,37.09024,-95.712891,61000,732300,11700000,37900000,328239523,92,37900000,200000,1,14.7,515,270663028,23510152352,244093000
US,,Entertainment,Cluster 1,United States,Apr,2017,22-04-2017,Like Nastya ESP,Like Nastya ESP,Entertainment,Like Nastya ESP,8.079452055,22,88.2,1300000,15400000,37.09024,-95.712891,80300,963100,15400000,37600000,328239523,93,37600000,700000,1,14.7,743,270663028,18208196857,321026000
TH,,Entertainment,Cluster 2,Thailand,Jan,2013,10-01-2013,ýýýýýýýýýýýý one31,ýýýýýýýýýýýý one31,Entertainment,ýýýýýýýýýýýý one31,12.361643836,10,49.3,563000,6800000,15.870032,100.992541,35200,422300,6800000,37500000,69625582,94,37500000,300000,1,0.75,117152,35294600,27262462114,140754000
IN,,Comedy,Cluster 3,India,Mar,2017,20-03-2017,Jkk Entertainment,Jkk Entertainment,Comedy,Jkk Entertainment,8.169863014,20,28.1,199400,2400000,20.593684,78.96288,12500,149600,2400000,37200000,1366417754,95,37200000,100000,1,5.36,220,471031528,16402066717,49861000
IN,,People & Blogs,Cluster 3,India,Jun,2012,01-06-2012,ABP NEWS,ABP NEWS,People & Blogs,ABP NEWS,12.972602740,1,28.1,1100000,12800000,20.593684,78.96288,66800,801200,12800000,37000000,1366417754,96,37000000,400000,1,5.36,301308,471031528,13102611515,267060000
BR,,People & Blogs,Cluster 1,Brazil,Sep,2015,06-09-2015,Maria Clara & JP,Maria Clara & JP,People & Blogs,Maria Clara & JP,9.706849315,6,51.3,1000000,12100000,-14.235004,-51.92528,62900,754300,12100000,37000000,212559417,97,37000000,300000,1,12.08,744,183241641,24188861917,251449000
US,,Music,Cluster 1,United States,Sep,2006,19-09-2006,Bruno Mars,Bruno Mars,Music,Bruno Mars,18.676712329,19,88.2,701000,8400000,37.09024,-95.712891,43800,525700,8400000,36700000,328239523,98,36700000,200000,1,14.7,99,270663028,19378155425,175243000
US,,Music,Cluster 1,United States,Mar,2006,09-03-2006,Maroon 5,Maroon 5,Music,Maroon 5,19.208219178,9,88.2,611300,7300000,37.09024,-95.712891,38200,458500,7300000,36600000,328239523,99,36600000,200000,1,14.7,171,270663028,22553923546,152825000
IN,,Trailers,Cluster 3,India,Oct,2009,21-10-2009,Ultra Bollywood,Ultra Bollywood,Trailers,Ultra Bollywood,15.586301370,21,28.1,0,0,20.593684,78.96288,0,0,0,36600000,1366417754,100,36600000,200000,1,5.36,9168,471031528,15653786446,131462000
US,,News & Politics,Cluster 1,United States,Jan,1970,01-01-1970,YouTube,YouTube,News & Politics,YouTube,55.416438356,1,88.2,84400,1000000,37.09024,-95.712891,5300,63300,1000000,36300000,328239523,102,36300000,300000,1,14.7,744,270663028,3010784935,21103000
AR,,Music,Cluster 4,Argentina,Jun,2013,06-06-2013,La Granja de Zenï¿½,La Granja de Zenï¿½,Music,La Granja de Zenï¿½,11.958904110,6,90,1200000,14500000,-38.416097,-63.616672,75500,906200,14500000,35700000,44938712,106,35700000,400000,1,9.79,654,41339571,27118354077,302071000
IN,,Entertainment,Cluster 3,India,Jan,2013,04-01-2013,Saregama Music,Saregama Music,Entertainment,Saregama Music,12.378082192,4,28.1,2100000,25600000,20.593684,78.96288,133400,1600000,25600000,35500000,1366417754,107,35500000,900000,1,5.36,7566,471031528,15657673422,533793000
IN,,News & Politics,Cluster 3,India,Aug,2006,26-08-2006,IndiaTV,IndiaTV,News & Politics,IndiaTV,18.742465753,26,28.1,1200000,14000000,20.593684,78.96288,72700,872500,14000000,35500000,1366417754,108,35500000,600000,1,5.36,273255,471031528,16105023749,290847000
IN,,Music,Cluster 3,India,Apr,2012,02-04-2012,T-Series Bollywood Classics,T-Series Bollywood Classics,Music,T-Series Bollywood Classics,13.136986301,2,28.1,1300000,15900000,20.593684,78.96288,82900,994400,15900000,35400000,1366417754,109,35400000,500000,1,5.36,2010,471031528,22637783517,331474000
US,,Gaming,Cluster 1,United States,May,2012,26-05-2012,Markiplier,Markiplier,Gaming,Markiplier,12.989041096,26,88.2,509300,6100000,37.09024,-95.712891,31800,382000,6100000,35200000,328239523,111,35200000,100000,1,14.7,5490,270663028,20297931219,127329000
